# taxonomy 	1136_F-BL_CP04543-B_L001_taxonomic_profile	1136_FV-W4_CP04543_L007_taxonomic_profile	1137__FV-W4_CP04543_L007_taxonomic_profile	1138_F-BL_CP04543-B_L001_taxonomic_profile	1138__FV-W4_CP04543_L007_taxonomic_profile	1139__FV-W4_CP04543_L007_taxonomic_profile	1140_F-BL_CP04543-B_L001_taxonomic_profile	1140__FV-W4_CP04543_L007_taxonomic_profile	1141__FV-W4_CP04543_L007_taxonomic_profile	1142_F-BL_CP04543-B_L001_taxonomic_profile	1142__FV-W4_CP04543_L007_taxonomic_profile	1143__FV-W4_CP04543_L007_taxonomic_profile	1144_F-BL_CP04543-B_L001_taxonomic_profile	1144__FV-W4_CP04543_L007_taxonomic_profile	1145__FV-W4_CP04543_L007_taxonomic_profile	1146_F-BL_CP04543-B_L001_taxonomic_profile	1146__FT-W4_CP04543_L007_taxonomic_profile	1147__FT-W4_CP04543_L007_taxonomic_profile	1148_F-BL_CP04543-B_L001_taxonomic_profile	1148_FT-W4_CP04543_L007_taxonomic_profile	1149_FT-W4_CP04543_L007_taxonomic_profile	1150_F-BL_CP04543-B_L001_taxonomic_profile	1150_FT-W4_CP04543_L007_taxonomic_profile	1151_FT-W4_CP04543_L007_taxonomic_profile	1152_F-BL_CP04543-B_L001_taxonomic_profile	1152_FT-W4_CP04543_L007_taxonomic_profile	1153_FT-W4_CP04543_L007_taxonomic_profile	1154_F-BL_CP04543-B_L001_taxonomic_profile	1154_FT-W4_CP04543_L007_taxonomic_profile	1155_FT-W4_CP04543_L007_taxonomic_profile	1156_M-BL_CP04543-B_L001_taxonomic_profile	1156_MSV-W4_CP04543_L007_taxonomic_profile	1157_MSV-W4_CP04543_L007_taxonomic_profile	1158_MSV-W4_CP04543_L007_taxonomic_profile	1159_MSV-W4_CP04543_L007_taxonomic_profile	1160_M-BL_CP04543-B_L001_taxonomic_profile	1160_MSV-W4_B_CP04543_L001_taxonomic_profile	1161_MSV-W4_CP04543_L007_taxonomic_profile	1162_MSV-W4_CP04543_L007_taxonomic_profile	1163_MSV-W4_CP04543_L007_taxonomic_profile	1164_M-BL_CP04543-B_L001_taxonomic_profile	1164_MSV-W4_CP04543_L007_taxonomic_profile	1165_MSV-W4_CP04543_L007_taxonomic_profile	1166_M_O_V-W4_CP04543_L007_taxonomic_profile	1167_M_O_V-W4_CP04543_L007_taxonomic_profile	1168_M-BL_CP04543-B_L001_taxonomic_profile	1168_M_O_V-W4_CP04543_L007_taxonomic_profile	1169_M_O_V-W4_CP04543_L007_taxonomic_profile	1170_M-BL_CP04543-B_L001_taxonomic_profile	1170_M_O_V-W4_CP04543_L007_taxonomic_profile	1171_M_O_V-W4_CP04543_L007_taxonomic_profile	1172_M_O_V-W4_CP04543_L007_taxonomic_profile	1173_M_O_V-W4_CP04543_L007_taxonomic_profile	1174_M-BL_CP04543-B_L001_taxonomic_profile	1174_M_O_V-W4_CP04543_L007_taxonomic_profile	1176_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1177_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1178_M-BL_CP04543-B_L001_taxonomic_profile	1178_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1179_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1180_M-BL_CP04543-B_L001_taxonomic_profile	1180_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1181_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1182_M-BL_CP04543-B_L001_taxonomic_profile	1182_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1183_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1184_M-BL_CP04543-B_L001_taxonomic_profile	1184_M_ORX_E-W4_CP04543_L007_taxonomic_profile	1185_M_ORX_E-W4_CP04543_L007_taxonomic_profile
k__Bacteria|p__Bacteroidetes|c__CFGB24046|o__OFGB24046|f__FGB24046|g__GGB24046	0	0	0	0	0	0	0	0	0	0	0	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	7.10644	0.83735	0.73889	5.22237	0.79407	1.84624	10.13181	1.5621	0.2642	10.99922	0.30577	0.0033	18.61376	1.78346	1.78167	4.49542	1.23293	2.40266	3.6691	2.36958	0.41604	4.30875	2.49452	1.50118	7.51416	2.47902	1.30162	6.64892	1.63705	1.01883	10.91288	1.41734	0.63689	1.49916	0.19939	9.47717	1.28413	0.92298	2.06369	0.40406	10.66792	0.25149	1.3838	5.1545	5.82591	11.1338	1.54537	2.89843	11.77076	0.90648	5.61362	4.26921	1.99543	13.47284	1.16498	3.86278	2.55608	5.82195	2.35606	0.68952	8.02499	0.74204	1.30862	15.79904	2.176	1.1219	11.98656	0.30457	6.21238
k__Bacteria|p__Bacteroidetes|c__CFGB76030|o__OFGB76030|f__FGB76030|g__GGB27848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37431	0.04063	0.14521	0.08244	0.13754	0.59432	0.0087	0.00875	0.01615	0.12433	1.15867	0.05243	0.04127	0	0	0.45443	0	0	0.56019	0.03685	0	0	0.02633	0.01679	0.03054	0.04469	0.02917	0.01714	0.00981	0.05338	0.05959	0.00539	0.03385	0.01122	0.02943	0.01296	0.04412	0	0.00069
k__Bacteria|p__Bacteroidetes|c__CFGB27853|o__OFGB27853|f__FGB27853|g__GGB27855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00787	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.21195	0.1476	0.19507	0.07045	0.14617	0.13307	0.51174	0.43246	0.18542	0.51202	0.29302	0.03038	0.46918	0.35227	0.59395	0.39765	0.38336	1.04768	0.05588	0.53894	0.21093	0.60253	0.57379	1.15908	1.04751	1.04189	0.23038	1.06189	0.50954	0.63053	0.9023	0.80844	0.23089	0.62044	0.12963	1.12516	0.22569	0.53007	0.39524	0.26592	2.18301	0.17633	0.52665	1.72711	1.05769	1.49696	0.13348	0.68962	2.78271	0.78193	1.62561	0.68303	0.57998	1.10843	0.2785	0.35639	0.98217	0.70951	1.77669	0.49348	0.81251	0.55178	0.79929	0.91901	0.44464	0.98806	0.72214	0.8003	3.20571
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628	0.92755	0.24523	0.18943	2.0297	0	0.39157	0.28072	1.50463	0.34311	0.91678	0.4328	0.68164	0.45637	7.42976	0.37061	1.35421	0.34602	0.30896	1.74344	0.86018	1.1812	0.49584	0.89573	0.01696	0.28485	0.30906	2.06154	0.87752	0.73796	0.25652	0.10428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB46100|o__OFGB46100|f__FGB46100|g__GGB28103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2.7954	0	0	1.0722	0	0	5.26647	0	0	4.08111	0	0	5.48913	0	0	1.0359	0	0.10487	0.66386	0	0	0.3438	0	0	1.33406	0.0641	0	3.7929	0	0	8.01249	0	0	0	0	9.08646	0	0	0	0	10.269	0	0	0	0	9.29375	0.00662	0	4.73832	0.00552	0	0	0.24602	2.22408	0.16346	0	0	4.37239	0	0	3.42399	0	0	6.27243	0	0	4.83113	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197	0.06253	0	0	0.41092	0	0	0.03456	0	0	0.02082	0	0	0.04278	0	0	0.13236	0	0	0.08549	0	0	0.01235	0	0	0.04675	0	0	0.04907	0	0.04141	0.14173	0	0	0	0	0.10968	0	0.01311	0	0	0.02169	0.02877	0.00143	0.01922	0.04727	0.09295	0.05171	0.10625	0.05744	0.00346	0.00292	0.10148	0.02365	0.0464	0	0.00986	0	0.05553	0	0	0	0	0	0.16031	0	0	0.26555	0	0
k__Bacteria|p__Actinobacteria|c__CFGB73496|o__OFGB73496|f__FGB73496|g__GGB80032	0	0.12911	0.16461	0	0.14664	0.05908	0	0.11006	0.39322	0	0.48857	0.90811	0	0.0258	0.31782	0.03824	0.01952	0	0	0.08172	0.25282	0.00815	0.08874	0.0325	0	0	0.25404	0.00327	0.02633	0.11708	0.00151	0	0	0	0	0	0	0	0.01583	0.05167	0.0082	0	0.00715	0	0.00221	0	0	0	0.03239	0	0	0	0.01345	0	0.06117	0.01074	0	0.00682	0	0.0698	0.01439	0.00117	0.09295	0.01097	0.01538	0	0.00696	0	0.00238
